Name_of_App,Rating,Company,App_Detail_Web_Page_URL
CBT Companion: Therapy app,"4.4
star","Resiliens, Inc",https://play.google.com/store/apps/details?id=co.swasth.cbtcompanion
Clarity - CBT Thought Diary,"3.7
star",Inquiry Health LLC,https://play.google.com/store/apps/details?id=com.moodtools.cbtassistant.app
MindHealth: CBT Mental Health,"4.7
star",Mind Health,https://play.google.com/store/apps/details?id=com.cbt.mindhealthy
MindShift CBT - Anxiety Relief,"3.5
star",247 Labs Inc.,https://play.google.com/store/apps/details?id=com.bstro.MindShift
CBT-i Coach,"4.5
star",US Department of Veterans Affairs (VA),https://play.google.com/store/apps/details?id=gov.va.mobilehealth.ncptsd.cbti
Unstuck: CBT Therapy Journal,"4.9
star",Woo Developments LLC,https://play.google.com/store/apps/details?id=app.becomeunstuck.unstuck
MindDoc: Mental Health Support,"4.2
star",MindDoc Health,https://play.google.com/store/apps/details?id=de.moodpath.android
CBT Hypnotherapy: MentalFuture,"3.8
star","Mental Future for Meditation, CBT and Sleep",https://play.google.com/store/apps/details?id=com.mental.future.meditation.cbt
Mood Tracker Daily Journal CBT,"4.4
star",Reflexio Team,https://play.google.com/store/apps/details?id=diary.questions.mood.tracker
Sintelly: CBT Therapy Chatbot,"4.4
star",Sintelly,https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence
NMC CBT,"2.8
star",Envertiz Consultancy,https://play.google.com/store/apps/details?id=com.mbtechpro.cbt
‎MyPossibleSelf: Mental Health,"4.7
star",My Possible Self Ltd,https://play.google.com/store/apps/details?id=com.mypossibleself.app
Cognitive Behavioral Therapy -,,PDTanks Tech,https://play.google.com/store/apps/details?id=com.ptanktechnology.congnitive_behavorial_therapy
stoic journal & mental health,"4.3
star",Stoic app inc.,https://play.google.com/store/apps/details?id=com.stoicroutine.stoic
Marbles CBT,,Omri Sadeh,https://play.google.com/store/apps/details?id=com.omrisadeh.marblescbt
Intellect: Create A Better You,"4.6
star",The Intellect Company,https://play.google.com/store/apps/details?id=co.intellect.app
WorryTree: Anxiety CBT Therapy,"3.8
star",WorryTree,https://play.google.com/store/apps/details?id=com.worrytree.worrytree
"VOS: Mental Health, AI Therapy","4.4
star",VOS.health,https://play.google.com/store/apps/details?id=com.vos.app
Cognitivy. CBT Journal,,SMTH MORE OÜ,https://play.google.com/store/apps/details?id=com.smthmoreapps.cognitivy
Sleep Reset: CBT for Insomnia,"4.5
star",Sleep Reset,https://play.google.com/store/apps/details?id=com.simplehabit.nocturne
UpLife: Mental Health Therapy,"4.5
star",UpLife Inc.,https://play.google.com/store/apps/details?id=com.olearis.uplife
Self Therapy: Mental Tests,"4.4
star",TANOS APPS,https://play.google.com/store/apps/details?id=com.tanosapps.meditanos
Youper: AI Therapy,"3.9
star","Youper, Inc",https://play.google.com/store/apps/details?id=br.com.youper
5 Minute Journal・Self-care,"4.5
star",Intelligent Change LLC,https://play.google.com/store/apps/details?id=com.intelligentchange.fiveminutejournal
"Aura: Meditation & Sleep, CBT","4.6
star","Aura Health - Mindfulness, Sleep, Meditations",https://play.google.com/store/apps/details?id=com.aurahealth
Mosaik: CBT therapy journal,,Mosaik.care,https://play.google.com/store/apps/details?id=com.anonymeclient
MindPeers: Online Therapy,"3.6
star",MindPeers,https://play.google.com/store/apps/details?id=co.mindpeers
Daylio Journal - Mood Tracker,"4.7
star",Habitics,https://play.google.com/store/apps/details?id=net.daylio
Depression Cognitive Research,,CogniFit Inc,https://play.google.com/store/apps/details?id=com.cognifit.android.depression
DailyBean: Simplest Journal,"4.6
star",블루시그넘(BlueSignum Corp.),https://play.google.com/store/apps/details?id=com.bluesignum.bluediary
CBT Guide to Depression & Test,"4.4
star",Excel At Life,https://play.google.com/store/apps/details?id=com.excelatlife.depression
Gratitude & Self-Care Journal,"4.9
star",SimpleInnovation,https://play.google.com/store/apps/details?id=com.gratitude.journal.selfcare.mental.health.free
