Name_of_App,Rating,Company,App_Detail_Web_Page_URL
Univi: ADHD Management & Focus,"4.4
star",Univi Group sp. z o.o.,https://play.google.com/store/apps/details?id=app.univi.prod
App Support,"4.4
star",East-Hino,https://play.google.com/store/apps/details?id=net.east_hino.app_supports
Clarify: ADHD Organizer & help,"4.1
star",TheFabulous,https://play.google.com/store/apps/details?id=co.thefab.tm
Ohio Child Support,"2.7
star",ODJFS - OIS,https://play.google.com/store/apps/details?id=gov.ohio.jfs.childsupport
Yoodoo: ADHD Daily Planner,"4.2
star",Yoodoo,https://play.google.com/store/apps/details?id=pps.android.yoodoo
MetaMask - Crypto Wallet,"4.5
star",MetaMask Web3 Wallet,https://play.google.com/store/apps/details?id=io.metamask
Habitica: Gamify Your Tasks,"4.7
star","HabitRPG, Inc.",https://play.google.com/store/apps/details?id=com.habitrpg.android.habitica
Shimmer: ADHD Coaching,"4.3
star",shimmer.care,https://play.google.com/store/apps/details?id=org.name.shimmerapp
Shopify - Your Ecommerce Store,"4.2
star",Shopify Inc.,https://play.google.com/store/apps/details?id=com.shopify.mobile
"Routine Planner, Habit Tracker","4.4
star",Routinery,https://play.google.com/store/apps/details?id=com.alt.goodmorning
KineMaster - Video Editor,"4.4
star","KineMaster, Video Editor Experts Group",https://play.google.com/store/apps/details?id=com.nexstreaming.app.kinemasterfree
ADHD Sounds: Focus & Sleep,"4.6
star",TOPD Ltd.,https://play.google.com/store/apps/details?id=com.adhd.focus.hz.adhd
AMC+,"2.5
star",Digital Store LLC,https://play.google.com/store/apps/details?id=com.amcplus.amcfullepisodes
Focus Quest: Pomodoro adhd app,"4.4
star",Shikudo - Walking and Focus Games,https://play.google.com/store/apps/details?id=com.shikudo.focus.study.forest.pomodoro.productivity.hero.rpg.android
Free Adblocker Browser:Adblock,"4.5
star",Adblock – Rocketshield Browser Technology Limited,https://play.google.com/store/apps/details?id=com.hsv.freeadblockerbrowser
RoutineFlow: Routine for ADHD,"4.4
star",System Two GmbH,https://play.google.com/store/apps/details?id=app.routineflow.routineflow
YouTube Create,"3.3
star",Google LLC,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.producer
Todoist: Planner & Calendar,"4.6
star",Doist Inc.,https://play.google.com/store/apps/details?id=com.todoist
RAR,"4.2
star",RARLAB (published by win.rar GmbH),https://play.google.com/store/apps/details?id=com.rarlab.rar
Llama Life ADHD Routine & Task,"4.0
star",Llama Life,https://play.google.com/store/apps/details?id=com.llamaapp
Inflow ADHD,"3.8
star",Get Inflow,https://play.google.com/store/apps/details?id=inflow.adhd.productivity
Adblock Browser: Fast & Secure,"4.1
star",eyeo GmbH,https://play.google.com/store/apps/details?id=org.adblockplus.browser
OrganizeMe: ADHD BulletJournal,"4.3
star",Dotted Circle,https://play.google.com/store/apps/details?id=com.dottedcircle.bulletjournal
