cluster	n_apps	cumulative_count	silhouette_score	app_names	top_terms	top_features	top_indications	top_demographics
cluster_6	13	13	0.6297241843542408	Fears & Phobias Hypnosis, Hypnosis App for Weight Loss, Anxiety Relief Apps & Hypnosis, Self-Esteem Hypnosis, Pain Relief Hypnosis, Sleep Well Hypnosis & Insomnia, Eat Healthy Hypnosis, Attract Love Hypnosis App, End Procrastination Hypnosis, Migraine Relief Hypnosis, Enjoy Exercise Hypnosis, Break Bad Habits Hypnosis, Law of Attraction Hypnosis	{'hypnosis': np.float64(0.4106465264783476), 'surfcityapps': np.float64(0.4023099745862688), 'apps': np.float64(0.22685053683983858), 'hypnotic': np.float64(0.20987306226552838), 'http': np.float64(0.18622949922689086), 'com': np.float64(0.1676852425524312), 'background': np.float64(0.1552762637918629), 'application': np.float64(0.14709077851592295), 'en': np.float64(0.13141646513264763), 'org': np.float64(0.12547328969610333)}	{'Soothing Audio': 5, 'Other': 9, 'Talk Therapy / Coaching - AI/Digital': 2, 'Meditation': 6}	{'Phobias': 1, 'General': 9, 'Eating Disorders': 2, 'Anxiety': 1, 'Sleep': 1}	{'General': 13}
cluster_9	13	26	0.36791365892614625	OCD ERP: AI Exposure Therapy, ObsessLess: OCD Treatment App, Mindlez – OCD Treatment, Choiceful: OCD Treatment App, StopOCD - Online OCD Therapy, OCD Help, Obsessed, OCD Mantra : OCD treatment App, OCD Therapy Toolkit, OCD.app Anxiety, Mood & Sleep, OCD, OCD Test, NOCD: OCD Therapy and Tools	{'ocd': np.float64(0.7665136167190578), 'therapy': np.float64(0.09091330630397434), 'treatment': np.float64(0.07997832353456948), 'exposure': np.float64(0.07584419138566251), 'therapist': np.float64(0.06560708335699458), 'app': np.float64(0.06506558544182074), 'disorder': np.float64(0.05324577486936728), 'recovery': np.float64(0.052141277071196514), 'thoughts': np.float64(0.04732861814104639), 'information': np.float64(0.04612118059121818)}	{'Talk Therapy / Coaching - AI/Digital': 6, 'Assessment': 8, 'Other': 3, 'Talk Therapy / Coaching - Clinician': 3, 'Educational Content': 3}	{'OCD': 13, 'Anxiety': 2, 'General': 2, 'Depression & Mood Disorders': 1}	{'General': 13, 'Ethnic Minority': 1}
cluster_47	8	34	0.36698977946689837	Flo Ovulation & Period Tracker, Period Tracker and Calendar, Clue Cycle & Period Tracker, Period Calendar Period Tracker, Life: Period Tracker Calendar, Period Tracker Deluxe, Ivy Period & Pregnancy Tracker, Period Tracker	{'period': np.float64(0.5261343394814794), 'ovulation': np.float64(0.39629796046921384), 'tracker': np.float64(0.24413516377922687), 'cycle': np.float64(0.21666540215656724), 'pregnancy': np.float64(0.16868081566230025), 'calendar': np.float64(0.15120496256386892), 'symptoms': np.float64(0.10915474266510393), 'women': np.float64(0.09085522305543837), 'days': np.float64(0.07635944507795728), 'tracking': np.float64(0.0758865854341809)}	{'Educational Content': 3, 'Assessment': 2, 'Other': 7}	{'General': 8}	{'Women': 7, 'Pregnant Women / Mothers': 2, 'General': 1}
cluster_26	7	41	0.2242592045992858	Prevent A Suicide: What To Say, Prevent Suicide - Highland, Suicide Safe, Suicide Safety Plan, Stay Alive, Safety Plan, Minplan safety plan	{'suicide': np.float64(0.5271062691110975), 'safety': np.float64(0.2797761151233605), 'plan': np.float64(0.21440932939377877), 'crisis': np.float64(0.12302567699202471), 'safe': np.float64(0.08726643984065467), 'app': np.float64(0.07853418271379604), 'prevent': np.float64(0.07758436433234733), 'patients': np.float64(0.06629551822860463), 'services': np.float64(0.061834052715702165), 'resources': np.float64(0.058686106341263394)}	{'Educational Content': 4, 'Other': 7, 'Assessment': 2}	{'Self-Harm': 4, 'General': 5, 'Trauma / PTSD': 1, 'Anxiety': 1, 'Depression & Mood Disorders': 1}	{'General': 7}
cluster_17	9	50	0.21811840587281017	My EMDR, EMDR Kit, Heal EMDR: Self-Guided Therapy, EMDR Online, EMDR Platform, EMDR TriSense™, Anxiety Release based on EMDR, EMDR Therapy, EMDR Sound Relax	{'emdr': np.float64(0.6168780974064016), 'movement': np.float64(0.11349228999839167), 'eye': np.float64(0.11225526594789705), 'trauma': np.float64(0.10783239585060281), 'therapy': np.float64(0.10501640901296928), 'ptsd': np.float64(0.09246159757178633), 'brain': np.float64(0.08816032746041476), 'therapist': np.float64(0.07691124891239914), 'traumatic': np.float64(0.07617574532236224), 'memories': np.float64(0.07466239812693068)}	{'Talk Therapy / Coaching - AI/Digital': 5, 'Other': 9, 'Talk Therapy / Coaching - Clinician': 3, 'Educational Content': 1, 'Soothing Audio': 1}	{'Trauma / PTSD': 7, 'General': 3, 'Schizophrenia': 1, 'Anxiety': 2, 'Depression & Mood Disorders': 1}	{'General': 9}
cluster_25	10	60	0.2124426524000599	Grief Refuge, Apart of Me, Lifebreak - Bienestar Mental, Untangle: Grief Support, Griefity: Grief Support, Grief Works - Self Love & Care, Psicoaplique, GRIEF EASE, Empathy - Loss Companion, Confident Grief Coach School	{'grief': np.float64(0.5948404092839304), 'support': np.float64(0.11834858582500335), 'help': np.float64(0.07670654232995937), 'people': np.float64(0.0708040275144033), 'loss': np.float64(0.06675800638880883), 'content': np.float64(0.05530364434219433), 'emotional': np.float64(0.0543431564563164), 'loved': np.float64(0.0531198354943343), 'connect': np.float64(0.04973265784254702), 'process': np.float64(0.04810265170408068)}	{'Soothing Audio': 1, 'Journaling': 2, 'Games': 2, 'Educational Content': 8, 'Meditation': 3, 'Talk Therapy / Coaching - Peer': 1, 'Other': 4, 'Talk Therapy / Coaching - Clinician': 1}	{'Grief': 9, 'General': 2}	{'General': 9, 'Children': 1, 'Youth': 1}
cluster_35	47	107	0.1986387079888586	Diary with Lock: Diary Journal, DayDew - Daily Journal, Diary, Pic Diary - My Photo Journal, Daybook - Diary, Journal, Note, Lifely: my timeline diary, Diary & Journal with lock, My Diary - Diary With Lock, My Diary - Daily Journal, Lock, My diary - Secret Journal, Secret Diary - My Journal, Digital Personal Daily Diary, Grid Diary - Journal, Planner, Diaro - Diary Journal Notes, My Diary, Oak Diary: My Life Stories, Hearty Journal - Diary, Notes, Graphite: Journal, Bucket List, POPdiary+ : diary, journal, FeatherNotes: Journal & Diary, Purple Diary Journal with Lock, Life : Personal Diary, Journal, My Diary: Intelligent Journal, Diary with Lock: Daily Journal, My Diary - Daily Journal Lock, Unicorn Diary (lock - PIN), DiaryIt - Daily Diary Journal, Diary with Fingerprint Lock, POPdiary - diary, journal, Daily Diary: Journal with Lock, Journal App & Diary - Clearful, Grateful Diary: Daily Journal, Your Diary: Mood Daily Journal, My Daily Diary- Secret Journal, Photo Diary: Journal with lock, My Diary & Journal with Lock, My Diary - Daily Diary Journal, Daynote | Diary with Lock, Diarium: Journal, Diary, Daily Diary: AI Super Journal, Heart Diary: Emotion Mood Memo, Diary, My Diary Journal - Daily Note, Diary with lock password, Bujo - Bullet Journal & Diary, My Diary with Password Lock, Diary With Lock Password, DailyLife - My Diary, Journal	{'diary': np.float64(0.5441765435616791), 'journal': np.float64(0.244018199000239), 'lock': np.float64(0.13470566954162447), 'entries': np.float64(0.12319673636042272), 'daily': np.float64(0.10034184911330245), 'memories': np.float64(0.09829913245144652), 'journaling': np.float64(0.08300376642929741), 'writing': np.float64(0.07204915684345667), 'private': np.float64(0.07041267085093252), 'password': np.float64(0.06594283790978081)}	{'Journaling': 47, 'Mood Tracking': 12, 'Other': 27, 'Assessment': 1, 'Games': 1}	{'General': 47}	{'General': 46, 'Children': 1, 'Youth': 1}
cluster_27	8	115	0.19186406866949837	My Oasis: Relaxing, Satisfying, Soar With Tapping, Tapping with T, The Tapping Hub, The Tapping Solution, Rapid Tapping, My Tapping App 2, omPoint: EFT Tapping Sessions	{'tapping': np.float64(0.5882555369874093), 'game': np.float64(0.08490662556522885), 'anxiety': np.float64(0.08016272945638062), 'pain': np.float64(0.07891430227330515), 'app': np.float64(0.07759702511947136), 'stress': np.float64(0.07538779940420975), 'healing': np.float64(0.06424583588907053), 'solution': np.float64(0.058847545045982844), 'sessions': np.float64(0.05804706501950643), 'subscription': np.float64(0.05713186928282672)}	{'Games': 2, 'Other': 5, 'Talk Therapy / Coaching - Peer': 1, 'Educational Content': 3, 'Meditation': 1, 'Talk Therapy / Coaching - AI/Digital': 2}	{'General': 7, 'Anxiety': 3, 'Depression & Mood Disorders': 1, 'Sleep': 1}	{'General': 8}
cluster_40	8	123	0.19037865049403138	Sleep Hypnosis Music for Relax, Frequency Healing Sounds Hertz, Binaural Beats Brainwaves, Binaural Beats: Focus & Relax, Brainwaves: Binaural Beats ™, Frequency: Healing Sounds, Healing Frequencies Sounds Hz, Third Eye Opening Chakra Reiki	{'hz': np.float64(0.5273963813801271), 'frequencies': np.float64(0.1632220855144786), 'binaural': np.float64(0.14880432121893242), 'frequency': np.float64(0.1449479105975223), 'healing': np.float64(0.13812877766057596), 'waves': np.float64(0.12811610905878823), 'beats': np.float64(0.11757997181962765), 'sleep': np.float64(0.11337952321636313), 'music': np.float64(0.10415408569541154), 'brainwave': np.float64(0.10340690286778319)}	{'Soothing Audio': 7, 'Meditation': 5, 'Other': 3}	{'Sleep': 6, 'General': 6, 'Anxiety': 5}	{'General': 8}
cluster_41	17	140	0.18419212176106425	Mantra Time - Wake with mantra, Just Digital Japa Counter, Japa 108 - Counter & Tracker, Meera- Chanting, Mantra, Jaap, Mantra Health, Chant Hare Krishna, Mantra Chanting and Meditation, Mantra Japa - Counter&Tracker, Mantra Meditation, Easy Counter (Mantra Chanting), Mantra Repeater, Mantra Counter, Jaap Tracker - Om Chanting, MalaMode 📿 Mantra Counter, Mantra Counter, Daily Chants: Mantras Chanting, Sadhana: Mandir, Mantra & Puja	{'mantra': np.float64(0.48410535391578036), 'chanting': np.float64(0.21462417726388208), 'counter': np.float64(0.16827189581746102), 'japa': np.float64(0.1665454337283806), 'mantras': np.float64(0.15513149560118802), 'spiritual': np.float64(0.12432704337988315), 'count': np.float64(0.09771348979678146), 'meditation': np.float64(0.09104364629907925), 'app': np.float64(0.049864665369735765), 'practice': np.float64(0.035242241457058676)}	{'Meditation': 9, 'Other': 15, 'Talk Therapy / Coaching - Clinician': 1, 'Educational Content': 1, 'Soothing Audio': 3}	{'General': 16, 'Sleep': 1}	{'General': 16, 'Students': 1}
