app_id	indication_id
1863	6
409	6
2077	6
953	2
953	4
795	6
2514	6
2514	1
1403	1
115	1
2706	6
2706	1
1474	1
54	1
1097	1
1097	6
286	1
286	2
2728	1
2724	1
2724	2
2548	1
1257	1
1098	1
1098	6
574	1
2656	1
1148	1
1762	1
1211	1
1211	6
846	1
1067	1
394	1
1156	1
2379	1
1541	1
1931	1
2472	1
2472	6
873	1
873	6
1641	1
1641	6
948	1
1524	1
1616	6
2273	6
621	6
172	6
479	6
716	6
257	6
1103	6
1678	6
1159	6
1465	6
131	6
659	6
1244	14
1121	6
2201	6
2576	6
42	6
399	6
1692	6
1074	6
2022	6
2667	6
1842	6
2164	6
703	6
851	2
851	4
831	2
831	4
2013	2
2013	4
397	2
1419	2
1419	4
1419	1
1419	16
2104	6
2180	2
2180	6
612	2
612	4
612	6
2703	2
1802	2
1802	6
1591	2
1591	6
2241	2
142	2
142	4
1147	2
1147	4
2451	2
2451	4
2451	6
1295	2
1295	4
1295	6
754	6
1417	6
1789	2
1789	6
445	2
445	4
445	6
2181	2
2181	4
1981	2
1981	4
512	2
512	4
1266	2
1266	4
1266	6
1022	6
2248	2
2248	4
1846	2
1846	4
1638	2
1638	4
306	2
306	4
1639	6
807	6
2726	6
1623	6
158	6
2651	6
1875	6
2113	6
1306	6
804	6
1561	6
1747	16
1747	6
1995	6
1109	6
1851	6
1851	2
2369	2
2369	14
1405	6
2261	2
2261	14
2530	6
1258	2
1258	6
1401	6
1833	6
1800	6
2316	2
2316	14
1608	2
2186	6
1064	2
617	2
617	14
617	6
1144	2
1144	14
767	2
375	6
1329	2
1329	4
2552	2
2552	14
194	2
194	6
1	2
1	14
1	6
2119	2
1010	6
991	14
2091	4
2091	2
360	2
360	4
1304	2
1304	4
1304	6
1375	4
2123	2
2123	4
2123	9
1291	2
1291	4
1291	6
1597	2
1597	4
1597	15
489	2
489	6
2192	6
377	6
334	2
2219	2
2219	6
1552	2
1552	4
1552	1
1552	5
963	11
298	2
298	4
1535	2
1535	4
279	2
279	4
295	6
295	2
295	4
2315	2
2315	4
2338	2
2338	4
1124	6
1771	6
2619	2
2619	4
1737	2
1737	4
2360	2
2360	14
2185	6
2539	6
1138	6
2150	2
2658	6
865	2
865	6
2693	6
2579	6
1366	6
581	9
1391	9
2677	3
2677	5
2677	15
2677	16
2732	6
75	9
458	6
868	9
868	6
1175	6
543	2
543	4
543	3
543	16
2652	6
2098	9
1137	5
1798	5
1798	6
600	5
1673	5
1673	6
534	5
534	6
1450	5
1115	5
1860	5
408	5
1922	5
1050	5
483	6
743	5
2193	5
1102	5
646	5
646	6
827	5
800	5
789	5
2442	5
2355	5
23	16
23	6
2014	2
2253	16
1024	6
892	16
892	6
374	16
374	2
374	4
2221	16
1361	16
369	16
369	12
909	6
2058	2
2058	1
2058	4
4	6
1292	6
2670	6
2510	2
2510	4
146	2
146	4
19	1
19	2
19	6
1723	2
1723	4
1881	6
68	6
1033	6
1693	6
2462	6
307	2
2501	6
315	6
237	6
2512	6
717	6
936	2
2471	6
2140	2
2140	4
2515	2
2515	4
1549	6
2348	7
86	7
1201	7
2019	7
2461	7
2461	6
160	7
1430	7
1333	7
45	7
176	15
2447	6
2447	15
2204	6
1814	6
1441	15
2638	6
1994	6
1654	15
2550	15
514	15
495	15
371	6
438	6
438	15
414	6
686	15
449	15
1126	15
2128	6
2456	6
2456	15
1756	15
1007	6
1804	1
1804	6
1020	6
1020	15
551	6
2357	15
1274	15
1274	6
2307	6
364	15
90	15
656	15
563	1
1793	15
2525	15
1370	15
467	15
467	6
741	6
2078	6
1960	6
667	6
863	15
863	6
556	15
1546	15
799	15
2332	15
2605	15
291	15
291	6
1778	15
1778	6
2361	15
1369	15
211	15
2064	15
350	15
1362	15
982	15
2708	15
921	15
1353	15
826	15
1225	13
1225	15
711	15
711	6
2431	15
625	15
625	6
1729	15
1729	13
1819	15
1819	6
1819	13
1550	15
1343	15
1735	15
1735	6
905	15
905	6
2491	15
2491	6
35	15
35	6
9	15
9	6
1063	15
92	15
2026	15
263	15
263	6
1764	15
1764	6
1680	15
1680	6
152	15
2279	15
2046	15
658	15
658	6
400	15
241	15
241	6
1847	15
485	15
485	6
1276	15
1276	6
1520	15
171	15
1029	15
2322	15
766	15
379	15
1381	15
1993	15
1700	15
1647	15
1647	6
1991	6
1991	1
1279	14
1279	2
1279	6
2449	6
78	14
1605	6
566	6
566	2
566	14
1578	2
1578	14
833	6
1845	6
1845	2
1845	14
1287	14
1287	2
1287	6
602	6
602	2
2157	6
2374	6
2239	5
2239	6
2610	6
2635	6
994	6
810	6
2367	6
1721	6
98	6
1604	6
842	2
842	4
637	6
734	6
560	6
560	2
560	4
560	1
1451	6
725	6
2006	6
1873	6
814	6
2689	6
1736	6
336	6
2207	5
2207	6
2604	6
2526	6
2390	6
246	6
246	2
246	4
246	1
246	16
5	6
331	6
330	6
178	6
1041	6
116	6
2310	6
242	6
2661	6
1576	6
2124	2
110	2
59	2
60	2
635	6
1751	6
1684	6
243	6
11	6
1886	6
2093	5
1542	5
2189	6
586	6
586	2
2618	6
941	6
2603	2
2603	14
328	2
328	14
849	6
1018	6
1018	2
1018	4
1364	2
271	2
271	14
1065	6
267	6
2492	6
578	6
2141	2
2141	4
153	2
2716	2
2716	6
1568	2
1568	14
2622	6
648	6
1263	6
1095	2
1095	14
1095	13
288	6
43	5
1215	14
416	2
2138	6
1734	6
1342	5
465	6
