category	category_id
ACT Tools	1
ADHD Support	2
AI Therapy	3
Affirmations	4
Brain Health	5
Breathwork	6
CBT Tools	7
Chakra Healing	8
DBT & Borderline Personality	9
EFT Tapping	10
EMDR Therapy	11
Eating Disorder Support	12
Emotional Regulation	13
General Mental Wellness	14
Grief Support	15
HRV Monitors	16
Habit Trackers & Addiction Support	17
Healing Frequencies	18
Health Trackers	19
Hypnosis	20
Journals & Mood Trackers	21
Mantra Chanting	22
Meditation	23
Mindset Development	24
OCD Management	25
Other	26
Panic & Anxiety Support	27
Peer Support	28
Personality Assessment	29
Phobia Exposure	30
Pregnancy & Postpartum Wellness	31
Psychological Testing	32
Relaxation	33
Sleep Support	34
Social Anxiety Support	35
Suicide Prevention	36
Telehealth & Clinician Support	37
Tools for Depression	38
Trauma & PTSD Resources	39
